name,count
EnrollmentrxRx__Admissions_Confidence__c,74
EnrollmentrxRx__Admissions_Status__c,109
EnrollmentrxRx__Admissions_Status_Text__c,109
EnrollmentrxRx__Applicant__c,109
EnrollmentrxRx__Application_Fee_Payment__c,109
EnrollmentrxRx__Application_Type__c,109
EnrollmentrxRx__Apply_For_Merit_Based_Scholarship__c,109
EnrollmentrxRx__Approximate_Annual_Compensation__c,74
EnrollmentrxRx__Assigned_Financial_Aid_User__c,74
EnrollmentrxRx__Attachments__c,16
EnrollmentrxRx__Award_Amount__c,74
EnrollmentrxRx__Citizenship__c,74
EnrollmentrxRx__Closed_File_Disposition__c,109
EnrollmentrxRx__Division_of_Military__c,109
EnrollmentrxRx__Documents_Approved_Admissions__c,74
EnrollmentrxRx__Documents_Approved_Financial_Aid__c,74
EnrollmentrxRx__Documents_Created__c,109
EnrollmentrxRx__Documents_Required_Admissions__c,74
EnrollmentrxRx__Documents_Required_Financial_Aid__c,74
EnrollmentrxRx__Documents_Required_Missing_List__c,109
EnrollmentrxRx__Do_You_Plan_to_Apply_For_Financial_Aid__c,109
EnrollmentrxRx__Financial_Aid_Stage__c,109
EnrollmentrxRx__GMAT_Date_Taken__c,74
EnrollmentrxRx__GMAT_Scheduled_Date__c,74
EnrollmentrxRx__GMAT_Status__c,74
EnrollmentrxRx__GPA__c,109
EnrollmentrxRx__Highest_Level_of_Education__c,109
EnrollmentrxRx__How_Did_You_Hear_About_Us__c,109
EnrollmentrxRx__Intend_to_be_a_Full_Time_Student__c,109
EnrollmentrxRx__Intend_to_Earn_a_Degree__c,109
EnrollmentrxRx__Intend_to_live_in_College_Housing__c,109
EnrollmentrxRx__Military_Status__c,109
EnrollmentrxRx__Non_US_Country_of_Citizenship__c,74
EnrollmentrxRx__Program_of_Interest__c,109
EnrollmentrxRx__SAT_Date_Test_Taken__c,74
EnrollmentrxRx__SAT_Math_Score__c,74
EnrollmentrxRx__SAT_Verbal_Score__c,74
EnrollmentrxRx__Scored_Goal_10__c,74
EnrollmentrxRx__Scored_Goal_11__c,74
EnrollmentrxRx__Scored_Goal_12__c,74
EnrollmentrxRx__Scored_Goal_13__c,74
EnrollmentrxRx__Scored_Goal_1__c,74
EnrollmentrxRx__Scored_Goal_2__c,74
EnrollmentrxRx__Scored_Goal_3__c,74
EnrollmentrxRx__Scored_Goal_4__c,74
EnrollmentrxRx__Scored_Goal_5__c,74
EnrollmentrxRx__Scored_Goal_6__c,74
EnrollmentrxRx__Scored_Goal_7__c,74
EnrollmentrxRx__Scored_Goal_8__c,74
EnrollmentrxRx__Scored_Goal_9__c,74
EnrollmentrxRx__Status_Modified_Date__c,109
EnrollmentrxRx__Term_Intended_to_Start__c,109
EnrollmentrxRx__TestOnly__c,16
EnrollmentrxRx__testSandeep__c,74
EnrollmentrxRx__TOEFL_Score__c,74
EnrollmentrxRx__Tuition_Planning_Confidence_Level__c,74
Entrance_Term__c,109
Entrance_Type__c,109
ERx_ReaderRx__Approver_Id__c,91
ERx_ReaderRx__Approver_Name__c,91
ERx_ReaderRx__Assign_to_next_approver__c,91
ERx_ReaderRx__CurrentApprovalProcessStep__c,91
ERx_ReaderRx__Eighth_Reviewer__c,24
ERx_ReaderRx__Fifth_Reviewer__c,24
ERx_ReaderRx__First_Reviewer__c,91
ERx_ReaderRx__Fourth_Reviewer__c,24
ERx_ReaderRx__isApproved__c,91
ERx_ReaderRx__ManuallyAssignedApprover__c,91
ERx_ReaderRx__Ninth_Reviewer__c,24
ERx_ReaderRx__Second_Reviewer__c,91
ERx_ReaderRx__Seventh_Reviewer__c,24
ERx_ReaderRx__Sixth_Reviewer__c,24
ERx_ReaderRx__Tenth_Reviewer__c,24
ERx_ReaderRx__Third_Reviewer__c,91
ESLI_TLC_Level__c,87
Extracurricular__c,109
Faculty_Call_Notes__c,32
Family_Info_Section__c,109
File_Forwarded_Deferred_Application__c,106
Financial_Aid_GPA__c,109
Financial_Aid_Section__c,109
Flight_Reimbursement_Amount__c,59
GMAT_Date__c,109
GMAT_Scheduled_Date__c,35
GMAT_Score__c,109
GMAT_Taken__c,109
Grant_or_Bursary_Amount__c,79
GR_CPSY_Video_Review__c,59
Homeschool_Blended_Distributed__c,109
Housing_Intent__c,23
IB_Classes__c,109
IB_Diploma__c,109
Id,109
Import_Date__c,109
Information_Sharing_Statement__c,109
Information_Sharing_Statement_Version__c,109
IsDeleted,109
Is_Independent__c,109
JR_AC_Will_Call__c,59
LastActivityDate,109
LastModifiedById,109
LastModifiedDate,109
Legal_Confirmation__c,109
Legal_Confirmation_Version__c,109
Level_of_Study__c,47
Location_Campus__c,109
MACleanCity__c,107
MACleanCountry__c,107
MACleanCounty__c,107
MACleanDistrict__c,107
MACleanPostalCode__c,107
MACleanState__c,107
MACleanStreet__c,107
Major__c,21
MALatitude__c,107
MALongitude__c,107
Managing_Entity__c,11
Manual_Entrance_Type_Override__c,106
Manual_Ownership_Override__c,109
Manual_Region_Override__c,107
Manual_Transfer_Override__c,104
MAQuality__c,107
MASimilarity__c,107
MASkipGeocoding__c,107
MAVerifiedLatitude__c,107
MAVerifiedLongitude__c,107
Max_Coures_Taken_Elsewhere__c,107
Minor_1__c,21
Minor_2__c,21
Minor_3__c,21
Name,109
Need_Application_Status__c,109
Number_of_courses_taken_elsewhere__c,105
Nursing_Career_Goals__c,109
Nursing_Career_Reasons__c,109
Nursing_Communication_Skills__c,106
Nursing_Crim_Impairment_Expl__c,109
Nursing_Impairments__c,109
Nursing_Other_Questions__c,106
Nursing_Previous_App__c,109
Nursing_Previous_App_Date__c,109
Nursing_Registration_Number__c,109
Nursing_Rigor_Challenge__c,109
Nursing_Section__c,109
Nursing_Self_Motivation__c,106
Nursing_Volunteer_Exp__c,109
Nursing_What_it_offers__c,109
Nursing_What_you_offer__c,109
Nursing_Why_TWU__c,109
of_Ed_History_Records__c,42
of_Other_Colleges_Attended__c,109
of_Unapproved_Ed_Histories__c,27
Other_Activity_Interests__c,44
Other_opportunities__c,47
Other_Section__c,109
OwnerId,109
Owner_User_Record__c,47
Parent_App_Status__c,109
Parents_are_alumni__c,109
Parent_s_Employed_at_TWU__c,109
Parents_Info_Provided__c,47
Payment_made__c,28
Payment_Received_on__c,101
Personal_Data_Section__c,109
Phil_Wickham_Concert__c,29
Present_Faculty_Advisor__c,21
Previously_Attended_College_University__c,47
Previous_TWU_Attendance__c,109
Program_Offered__c,109
Program_Of_Interest_HEDA__c,47
Program_of_Interest_Secondary__c,109
Program_Questions_Section__c,109
Prospect_Rating__c,50
Provisional_Conditional_Paragraph__c,109
Quadrant_Rating__c,99
Questions__c,109
Reason_for_Disposition__c,106
Reassign_Region__c,107
Recommendation_Section__c,109
Refund_Admissions_Deposit__c,89
Regenerate_Requirement_Type__c,107
Region__c,107
Region_Override__c,109
Registered__c,109
SAT_Taken_Planned__c,109
SAT_Test_Date__c,35
School_Decision__c,109
School_Program_Catalog__c,109
Secondary_Program_of_Interest__c,47
Seminary__c,109
Seminary_LU__c,47
Sent_for_Approval__c,99
Significant_Life_Experience__c,109
Stream_Account_LU__c,47
Stream__c,109
Submit_Application_Section__c,109
SystemModstamp,109
Teaching_Experiences__c,109
Term_Change_Status__c,72
Term_HEDA__c,47
Test_Scores_Section__c,109
TOEFL_Score__c,18
TOEFL_Taken__c,18
TOEFL_Test_Date__c,18
Top_Barrier__c,88
Treat_as_transfer_student__c,105
Volunteering_Experiences__c,47
Why_Applying__c,109
Why_Transferring_to_TWU__c,43
zeemee_URL__c,109
